           ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 0:01- 1:00,-9.6,-7.6,-3.9,1.7,5.9,11.7,15.4,15.9,13.3,4.1,-0.1,-6.4
 1:01- 2:00,-9.5,-7.6,-4,1.7,6,11.8,15.2,16,13,4,-0.2,-6.7
 2:01- 3:00,-9.5,-7.8,-4.5,1.7,6.1,11.9,15.2,15.9,12.9,4.3,-0.3,-6.9
 3:01- 4:00,-9.7,-7.8,-4.3,1.6,6.5,11.9,15,15.4,12.6,4.3,-0.5,-7
 4:01- 5:00,-9.9,-7.9,-4.5,1.5,6.6,12.3,14.8,15.6,12.4,4.2,-0.6,-7.1
 5:01- 6:00,-10.2,-7.9,-4.9,1.4,7.8,13.2,15.9,15.6,12.3,4.3,-0.6,-7.2
 6:01- 7:00,-10.4,-7.8,-4.3,1.9,8.3,14.3,16.7,16.5,13.1,4.5,-0.5,-7.3
 7:01- 8:00,-10.6,-7.6,-4,2,8.1,14.9,16.9,16.9,13.3,6,-0.2,-7.3
 8:01- 9:00,-10.2,-6.8,-4.2,2.3,8.2,15.3,17,17.3,13.1,6.1,0.1,-6.9
 9:01-10:00,-9.8,-6.6,-3.5,2.5,8.2,15.2,17,17.2,13,5.8,0,-6.9
10:01-11:00,-9.6,-6.2,-3.3,2.5,8,14.7,16.9,17.1,13.1,5.6,0.2,-6.7
11:01-12:00,-9.2,-6.1,-3.6,2.8,8,14.4,16.8,16.9,13,5.5,0.2,-6.6
12:01-13:00,-8.9,-6,-3.1,2.8,8.1,14.4,16.9,17,12.8,5.3,0.2,-6.6
13:01-14:00,-8.8,-5.8,-3.1,2.7,7.7,14.4,16.8,16.9,12.8,5,0,-6.4
14:01-15:00,-8.7,-6,-3.6,2.1,7.6,14.1,16.7,16.8,12.6,4.8,-0.2,-6.4
15:01-16:00,-8.7,-6.1,-3.1,1.8,7.4,13.5,16.4,16.9,12.5,4.8,-0.1,-6.4
16:01-17:00,-8.8,-6.2,-3.2,1.4,7.3,12.9,16.3,16.7,12.6,4.4,-0.1,-6.6
17:01-18:00,-8.9,-6.4,-3.8,0.8,7,12.5,16.2,16.8,12.8,4.5,-0.1,-6.5
18:01-19:00,-9.1,-6.7,-3.3,0.6,6.4,11.7,15.8,16.7,12.9,4.5,-0.1,-6.5
19:01-20:00,-9.1,-6.9,-3.3,0.7,6.4,11.1,15.5,17,13,4.6,-0.2,-6.4
20:01-21:00,-9,-6.9,-3.7,0.8,6.7,11.1,15.7,16.9,13.1,4.6,-0.2,-6.4
21:01-22:00,-8.9,-7.1,-3.3,0.8,6.9,11.1,15.7,16.7,13,4.4,-0.1,-6.6
22:01-23:00,-9.1,-7.4,-3.3,1.2,6.8,11.3,15.7,16.6,13,4.3,-0.4,-6.7
23:01-24:00,-9.5,-7.4,-3.8,1.4,6.6,11.5,15.8,16.2,12.8,4.3,-0.6,-7
 Max Hour  ,16,14,13,13,7,9,10,9,8,9,12,20
 Min Hour  ,8,6,6,19,1,21,5,4,6,2,6,8
