           ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 0:01- 1:00,-6.3,-3.6,-0.1,5.8,10.6,17.6,19.9,18.5,14.9,9,2.9,-3.1
 1:01- 2:00,-6.2,-3.8,-0.4,5.5,10.2,17.2,19.5,18.3,14.5,8.6,2.7,-3.4
 2:01- 3:00,-6.1,-4.1,-0.7,5.2,10.1,17.2,19.3,18.1,14.2,8.5,2.5,-3.6
 3:01- 4:00,-6.3,-4.2,-0.9,4.9,10,16.9,18.9,17.7,14,8.1,2.4,-3.8
 4:01- 5:00,-6.5,-4.6,-1,4.7,9.9,16.7,18.7,17.7,13.8,7.8,2.2,-3.9
 5:01- 6:00,-6.8,-4.7,-1.2,4.8,11.2,17.6,19.7,18,13.6,7.8,2.1,-4
 6:01- 7:00,-6.8,-4.6,-0.3,6.4,13.6,19.6,21.5,20.1,15.5,8.2,2,-4.1
 7:01- 8:00,-6.6,-4,0.5,8.1,15.5,21.3,23.1,21.7,17.6,10.3,2.9,-3.9
 8:01- 9:00,-5.6,-2.9,1.4,9.6,17.3,22.5,24.6,23.3,19.4,12,3.8,-3.3
 9:01-10:00,-4.4,-1.7,2.1,10.6,18.7,23.6,25.8,24.6,20.5,13.5,5.1,-2.6
10:01-11:00,-3.5,-0.6,2.9,11.2,19.8,24.4,26.7,25.2,21.4,14.9,5.8,-1.6
11:01-12:00,-2.8,0.2,3.7,11.9,20.6,24.8,27.3,25.4,22.2,16,6.5,-1.2
12:01-13:00,-2,0.7,4.1,12.2,21.1,25.2,27.5,25.9,22.8,16.4,7.1,-0.7
13:01-14:00,-1.7,0.8,4.4,12.7,20.9,25.5,27.8,25.7,23.2,16.4,7.4,-0.6
14:01-15:00,-1.6,0.7,4.8,12.6,20.6,25.4,28.1,25.4,22.9,16.2,7.2,-0.6
15:01-16:00,-1.9,0.3,4.2,12.1,20,25.1,28,25.2,22.5,15.5,6.6,-0.9
16:01-17:00,-2.9,-0.4,3.6,11.5,19.5,24.8,27.6,24.5,21.6,14.2,5.5,-1.6
17:01-18:00,-3.8,-1.2,3,10,18.1,24,26.7,23.8,20,13,4.9,-1.8
18:01-19:00,-4.6,-1.8,2.4,8.7,16.1,22.3,24.9,22.3,18.6,12,4.5,-2.1
19:01-20:00,-4.5,-2.2,1.8,7.6,14.5,20.7,23.5,21.4,17.8,11.6,4.2,-2.3
20:01-21:00,-4.7,-2.4,1.2,7.1,13.3,19.4,22.3,20.5,16.8,11.2,3.9,-2.6
21:01-22:00,-5,-2.7,1.1,6.6,12.4,18.7,21.5,20.2,16.4,10.5,3.5,-2.9
22:01-23:00,-5.2,-3.2,0.9,6,11.7,18.1,20.7,19.6,15.7,10.1,3.1,-3.2
23:01-24:00,-5.8,-3.3,0.7,5.5,11.3,17.9,20.4,19,15.1,9.7,2.9,-3.5
 Max Hour  ,15,14,15,14,13,14,15,13,14,13,14,15
 Min Hour  ,6,6,6,5,5,5,5,5,6,5,7,7
